patch_id,solver,measurement_residual,coefficient_error,DC_error,AC_error,patch_psnr
114,OMP,0.000019,0.866643,0.186479,0.846343,19.30
114,LASSO-ADMM,0.083352,1.124813,0.669748,0.903683,17.04
115,ASL-SR-DPT,0.622163,0.625616,0.103101,0.617062,22.14
115,OMP,0.000000,0.616747,0.153599,0.597314,22.26
115,LASSO-ADMM,0.067695,0.818333,0.485179,0.658992,19.80
116,ASL-SR-DPT,0.536012,0.648676,0.264170,0.592448,21.82
116,OMP,0.000000,0.632220,0.050166,0.630227,22.04
116,LASSO-ADMM,0.084271,0.846042,0.523630,0.664529,19.51
117,ASL-SR-DPT,0.708842,0.642707,0.145125,0.626108,21.90
117,OMP,0.000000,1.115166,0.001107,1.115166,17.12
117,LASSO-ADMM,0.084099,0.829888,0.582689,0.590921,19.68
118,ASL-SR-DPT,0.666949,0.777011,0.286500,0.722263,20.25
118,OMP,0.000000,0.970814,0.022224,0.970560,18.32
118,LASSO-ADMM,0.089493,0.926452,0.500637,0.779536,18.73
119,ASL-SR-DPT,0.720289,0.673992,0.225904,0.635006,21.49
119,OMP,0.000000,0.817081,0.073471,0.813771,19.82
119,LASSO-ADMM,0.083914,1.068784,0.655743,0.843979,17.48
120,ASL-SR-DPT,0.560735,0.767284,0.343998,0.685850,20.36
120,OMP,0.000000,0.809074,0.118923,0.800286,19.90
120,LASSO-ADMM,0.090967,0.987613,0.624393,0.765188,18.17
121,ASL-SR-DPT,0.809165,1.064482,0.201290,1.045277,17.52
121,OMP,0.000000,1.368697,0.096334,1.365302,15.34
121,LASSO-ADMM,0.080151,1.088408,0.724776,0.811992,17.33
122,ASL-SR-DPT,0.705033,1.056736,0.189339,1.039635,17.58
122,OMP,0.000000,1.400482,0.275147,1.373188,15.14
122,LASSO-ADMM,0.091118,1.454301,0.896800,1.144876,14.81
123,ASL-SR-DPT,0.886138,1.263022,0.340415,1.216282,16.03
123,OMP,0.000000,1.223225,0.167025,1.211769,16.31
123,LASSO-ADMM,0.084108,1.580191,0.915480,1.287983,14.09
124,ASL-SR-DPT,0.738529,1.181833,0.414799,1.106649,16.61
124,OMP,0.000000,1.489046,0.328515,1.452355,14.60
124,LASSO-ADMM,0.094864,1.262989,0.818726,0.961680,16.03
125,ASL-SR-DPT,0.955269,1.306703,0.149775,1.298091,15.74
125,OMP,0.000000,1.613386,0.026084,1.613175,13.91
125,LASSO-ADMM,0.086119,1.161731,0.553965,1.021148,16.76
126,ASL-SR-DPT,0.943070,1.293437,0.065241,1.291790,15.83
126,OMP,0.000000,2.132910,0.187012,2.124695,11.48
126,LASSO-ADMM,0.083914,1.231557,0.543822,1.104984,16.25
127,ASL-SR-DPT,0.880824,1.397476,0.352207,1.352365,15.15
127,OMP,0.000000,1.489592,0.237865,1.470477,14.60
127,LASSO-ADMM,0.089225,1.286045,0.557704,1.158827,15.88
128,ASL-SR-DPT,1.039771,1.718018,0.748703,1.546296,13.36
128,OMP,0.000000,1.352791,0.033038,1.352388,15.44
128,LASSO-ADMM,0.093156,1.482030,0.859370,1.207433,14.64
129,ASL-SR-DPT,1.088501,1.378576,0.349375,1.333570,15.27
129,OMP,0.000000,1.777015,0.134140,1.771945,13.07
129,LASSO-ADMM,0.086939,1.623146,0.895219,1.353952,13.85
130,ASL-SR-DPT,1.156186,2.098552,0.481960,2.042458,11.62
130,OMP,0.000000,1.753368,0.007492,1.753352,13.18
130,LASSO-ADMM,0.088092,1.489029,0.558657,1.380257,14.60
131,ASL-SR-DPT,0.973622,1.470782,0.357492,1.426675,14.71
131,OMP,0.000000,1.511554,0.208923,1.497046,14.47
131,LASSO-ADMM,0.101784,1.421913,0.691277,1.242567,15.00
132,ASL-SR-DPT,0.916152,1.779183,0.608812,1.671778,13.06
132,OMP,0.000000,1.816955,0.325244,1.787607,12.87
132,LASSO-ADMM,0.083831,1.568305,0.745834,1.379605,14.15
133,ASL-SR-DPT,1.338337,1.602356,0.227362,1.586144,13.97
133,OMP,0.000000,2.156426,0.428500,2.113425,11.39
133,LASSO-ADMM,0.081570,1.378571,0.756874,1.152215,15.27
